date,ai_etf,bitcoin_eur,hang_seng_tech
2024-02-21,71.48015161320144,47927.33659979661,4.25256540630489
2024-02-22,74.213577566294,47355.63152545505,4.289014136561027
2024-02-23,74.07217600295803,46906.08245516731,4.320576816417082
2024-02-26,75.1893998340555,50266.43311514705,4.371715681755324
2024-02-27,75.74244559203247,52626.33714496496,4.472519365547768
2024-02-28,75.24625322997417,57689.18420081212,4.302787006275379
2024-02-29,75.61180505415162,56614.82921410719,4.3413866518559665
2024-03-01,76.76146535018917,57621.112854110914,4.408507889637353
2024-03-04,77.60845771144278,62980.46803021928,4.290123456790124
2024-03-05,76.11267802855829,58771.07323813911,4.220175034546293
2024-03-06,77.165985133523,60677.25061943655,4.353491786730293
2024-03-07,78.38498081490955,61155.67330531701,4.238991412388087
2024-03-08,78.6443540276127,62434.854164761826,4.269909481576301
2024-03-11,76.72976170602233,66005.85758740618,4.439868204283361
2024-03-12,77.26822500915414,65427.4990845844,4.581655071402416
2024-03-13,76.47673305317011,66801.57135026493,4.624520372738901
2024-03-14,75.13961216799926,65592.31688263945,4.492234169653524
2024-03-15,74.40420820244329,63790.759621567006,4.486543584091118
2024-03-18,74.45839389200626,62195.75016097875,4.557998344218563
2024-03-19,73.80292682926829,56969.167050161064,4.463874827427519
2024-03-20,73.90786590950722,62165.2317274226,4.476552482139586
2024-03-21,76.4254585635359,60299.263351749534,4.4774401473296495
2024-03-22,75.29112077741786,59053.216103655715,4.423877834335956
2024-03-25,75.10910668143228,64505.352528608346,4.374307862679957
2024-03-26,75.77331486611266,64632.50230840259,4.377654662973223
2024-03-27,75.51747829299833,64124.330315906154,4.339552928135969
2024-03-28,76.43172707889124,65637.34124409012,4.478538982108094
2024-04-02,74.47153789004457,60799.59138187222,4.5370542347696885
2024-04-03,75.19376095985234,60902.63036455931,4.43977849561606
2024-04-04,75.78167051222889,63256.11444393171,4.475772958006461
2024-04-05,73.9383848638671,62627.595754499314,4.377018920166129
2024-04-08,74.5160618898508,65954.13519985264,4.409191379627924
2024-04-09,74.8882432058959,63689.543988945195,4.461999078765546
2024-04-10,73.92380096816235,65751.25674920871,4.462856078942468
2024-04-11,74.00801939574785,65288.138754196196,4.537019768743006
2024-04-12,73.51606840819396,63099.041533546326,4.4291486562676186
2024-04-15,72.56461683298814,59723.21596686123,4.445490491432875
2024-04-16,70.70340774230009,60120.56136385042,4.323255156823961
2024-04-17,70.02697404179551,57424.79617655328,4.301377565364071
2024-04-18,69.95052616743399,59677.72244667857,4.361082401578502
2024-04-19,67.73047024591703,59903.32269570115,4.233621175145486
2024-04-22,66.79865496527128,62751.07940679557,4.343908391214568
2024-04-23,69.0074583419011,62081.50294420039,4.441069258809234
2024-04-24,69.82446854258203,60071.98279891558,4.5919416658876315
2024-04-25,69.70915442259297,60110.914344300494,4.54422592972318
2024-04-26,71.10039562289562,59619.34156378601,4.793303404414516
2024-04-29,71.56453680380632,59550.331187610784,4.745778524116055
2024-04-30,70.66904069385842,56851.38302859822,4.733239568682607
2024-05-02,70.03339300699301,55103.9627039627,5.0442890442890445
2024-05-03,71.37183863171593,58482.05986242796,5.105967651979922
2024-05-07,72.57948660714287,57961.30952380953,5.044642857142858
2024-05-08,71.33593671475106,56939.04141461145,4.967892042810609
2024-05-09,71.40827010481401,58505.70448010389,5.090436879695761
2024-05-10,71.31935555761909,56451.852539697284,5.091466245705265
2024-05-13,72.61476084538376,58337.04115684093,5.2549128661475715
2024-05-14,73.35168863006099,56889.443520059154,5.168238121649103
2024-05-15,74.18428597684249,60873.00128652821,5.181032898364271
2024-05-16,74.44553704555913,60057.06396686608,5.254486884491486
2024-05-17,74.06776448942043,61686.29254829807,5.322907083716651
2024-05-20,74.57382588668817,65777.06126209121,5.240994933210502
2024-05-21,74.27050672563111,64617.652478349,5.076469504330201
2024-05-22,75.119670085944,63873.94880325293,5.115054061546992
2024-05-23,74.86920558586887,62836.40062887266,5.0115601590677885
2024-05-24,74.95983402489627,63207.00783771323,4.852927616413093
2024-05-28,75.4785444495624,62945.18654997698,4.865960386918471
2024-05-29,74.18299537037036,62559.259259259255,4.807407407407407
2024-05-30,73.59237444608566,63088.99556868538,4.796898079763663
2024-05-31,71.77364818743658,62242.41306152569,4.702518217876579
2024-06-03,72.85196477710512,63108.60392588515,4.75875986057604
2024-06-04,72.15706012134584,64868.54201139915,4.817981246552675
2024-06-05,73.865490430622,65438.9032020611,4.86474052263526
2024-06-06,74.28738060249816,65002.75532696547,4.895297575312271
2024-06-07,74.64164537037037,64190.74074074074,4.814814814814815
2024-06-10,74.86843816779707,64574.003530614136,4.776549289231626
2024-06-11,74.79811900549399,62674.36446596517,4.8058478443058
2024-06-12,76.89203664291662,63147.034329601185,4.7737577496067365
2024-06-13,76.54211457848162,62163.949697251985,4.816022356776898
2024-06-14,75.4875308411215,61678.504672897194,4.771028037383178
2024-06-17,75.31385504005964,61929.38326812,4.78339854667412
2024-06-18,76.24436673495995,60667.72210840007,4.808157943751164
2024-06-19,76.46537237013592,60459.87711785515,4.928318748836343
2024-06-20,76.0837523364486,60602.80373831775,4.818691588785046
2024-06-21,74.97582546066786,59958.84388738191,4.8105883453372
2024-06-24,74.47672008945212,56142.377935147226,4.814573238911666
2024-06-25,74.33637356482778,57676.65453187716,4.699897321011855
2024-06-26,74.02535817960484,56940.72478696507,4.744826294596872
2024-06-27,74.38493926368903,57579.89160904504,4.636983741356756
2024-06-28,75.34693363203586,56300.756090730894,4.5920843834593486
2024-07-01,74.23546377351461,58510.89588377724,4.581858819146954
