date,msci_em,msci_india,nasdaq100,msci_china
2024-02-21,36.785,532.7140057317185,916.7827493759821,3.7588980308773223
2024-02-22,36.995,538.8291712094613,944.6549015984477,3.779913147925714
2024-02-23,37.01,544.289850249584,946.7184322425587,3.795525975226474
2024-02-26,36.785,541.6770166866414,944.7773577947819,3.7503457177099655
2024-02-27,36.905,539.3198967170786,943.4961268904464,3.8048690520103285
2024-02-28,36.46,538.3729208194907,942.7925433739388,3.737541528239203
2024-02-29,36.57,539.6820336943441,948.3384245117097,3.807460890493381
2024-03-01,36.99,539.5247762295837,957.1929500784348,3.8331641598228288
2024-03-04,36.88,539.997263681592,960.6780910263499,3.8299244518149993
2024-03-05,36.565,537.5516397973284,941.5108245048366,3.8572086596038697
2024-03-06,36.96,536.5290437735156,945.3794622373132,3.846930347802148
2024-03-07,36.96,538.3995249406175,951.9550520738169,3.805042938059565
2024-03-08,37.12,542.1993334552437,947.5358873548505,3.820974673127915
2024-03-11,37.17,537.526955775215,937.2772286289584,3.9071938495332237
2024-03-12,37.51,540.8424478213109,946.6953496887587,3.8905162943976563
2024-03-13,37.3,542.8889457336013,942.170655947378,3.858030330714416
2024-03-14,37.275,540.9302086205312,947.422111938241,3.8599393438103116
2024-03-15,36.99,537.2565307247174,933.2231101313494,3.879856709837421
2024-03-18,37.09,539.6126244135775,947.070186735351,3.9148192438598106
2024-03-19,36.87,541.3112195121951,942.5218591808559,3.904279797514956
2024-03-20,37.05,543.3492727605789,942.4787506869388,3.8844110642974896
2024-03-21,37.49,550.7224604051565,969.5580110497237,3.8793738489871084
2024-03-22,37.34,547.0035205923184,970.0232299861176,3.8472929199444703
2024-03-25,37.25,544.2087338501293,963.0121816168329,3.817829457364341
2024-03-26,37.31,544.740189289012,964.8107109879965,3.826408125577101
2024-03-27,37.27,547.2419767227046,959.4125254018105,3.7779419915019394
2024-03-28,37.585,552.3865541855938,964.957819597664,3.818485213683137
2024-04-02,37.93,542.4064849554235,958.2095096582466,3.8985884101040122
2024-04-03,37.73,543.7419649284726,959.8154130133827,3.863036455929857
2024-04-04,37.94,543.3158467928012,965.5929856945087,3.8763267189663133
2024-04-05,37.63,537.4877415782188,951.5920627595755,3.8440239963082607
2024-04-08,37.915,537.7740873088967,951.8494197826486,3.820224719101123
2024-04-09,37.99,536.0120460617228,948.7056655918932,3.8166743436204515
2024-04-10,37.95,532.0833848445354,954.933904300875,3.7870042822565626
2024-04-11,38.15,531.0929690414024,963.7262215591197,3.8101454681089146
2024-04-12,37.825,529.0138601766586,969.338470212366,3.7967299379815818
2024-04-15,37.69,528.7938504989644,970.3445678779891,3.9088683863679154
2024-04-16,36.97,524.9160478477912,952.4347744183856,3.8636149571442027
2024-04-17,36.905,521.050139630775,937.4664042732641,3.9087245806391158
2024-04-18,37.105,527.590773278211,942.6289580005638,3.9396786620313815
2024-04-19,36.765,522.4872226393844,915.3005443964709,3.9102684437769857
2024-04-22,36.975,523.2039712783932,912.6619110193355,3.8896189224704343
2024-04-23,37.245,531.1720646789419,930.4196653892886,3.848284886437985
2024-04-24,37.42,530.2186370010284,934.1778068617368,3.8375245395905395
2024-04-25,37.285,523.9855196197223,917.0565756361264,3.8421101687016503
2024-04-26,37.9,528.9252693602693,942.4429479985035,3.937523381967827
2024-04-29,38.16,532.6735852225021,944.8082843548838,3.991976863513387
2024-04-30,37.955,531.1518597280825,942.6872948898265,3.9615564932020626
2024-05-02,38.495,527.4119720279721,927.1515151515151,4.022377622377622
2024-05-03,38.74,534.0586428704219,945.1942740286298,4.046291132180702
2024-05-07,38.76,537.3277678571429,962.4162946428572,4.022507440476191
2024-05-08,38.725,537.7292210330387,959.3299208934387,3.9795253606328522
2024-05-09,38.73,541.1371672386605,958.8968555792599,4.03116594007977
2024-05-10,38.915,544.2283054322593,960.7763023493361,4.017086080416009
2024-05-13,39.165,546.1356395995551,962.0133481646274,4.007230255839822
2024-05-14,39.18,544.5141985579588,962.6548345350342,3.9816047328526523
2024-05-15,39.415,550.9383890828891,969.481712920419,3.963425840838081
2024-05-16,39.575,554.3429654855039,978.9691670501611,3.962264150943396
2024-05-17,39.745,553.3586329346826,972.4931002759889,4.026678932842686
2024-05-20,39.66,557.1736821741133,980.4606172270843,3.9987102717641645
2024-05-21,39.4,554.5117514280449,981.0945273631843,3.9819421411461215
2024-05-22,39.39,555.7892061731818,988.7163848073192,3.9913131873209498
2024-05-23,39.23,549.6475289003978,993.3228521224452,3.9360029594007218
2024-05-24,39.085,546.7921069617335,991.0926694329183,3.8948824343015214
2024-05-28,39.0,543.8428374021189,991.2114233072318,3.8903730999539383
2024-05-29,38.535,538.2826388888889,992.4444444444443,3.9101851851851848
2024-05-30,38.335,532.5210967503693,981.6931314623338,3.9023264401772533
2024-05-31,37.705,534.013333640808,961.9869015773453,3.8603449866248494
2024-06-03,38.195,537.0468794716566,971.766648321409,3.8451660245826456
2024-06-04,37.555,538.3034013605442,972.9729729729729,3.8986946129803264
2024-06-05,38.33,542.1508189179242,993.6234817813764,3.8866396761133606
2024-06-06,38.515,543.1141587068332,998.1631153563555,3.8703159441587074
2024-06-07,38.58,546.284499074074,1007.5780555555554,3.874074074074074
2024-06-10,38.88,545.1202917402211,1009.6998977980116,3.8855337731115864
2024-06-11,38.555,545.533941707794,1014.2192010429277,3.85976347890865
2024-06-12,38.82,548.2494568335338,1030.1656333857684,3.867863421856204
2024-06-13,38.6,544.304763856544,1038.2322310200282,3.8537494177922684
2024-06-14,39.005,543.4207487682243,1046.0297196261681,3.878588785046728
