date,strategy_1,strategy_2,strategy_3
2024-02-21,1000.0,1000.0,1000.0
2024-02-22,1007.531661965648,1012.0664933408056,1017.2558001584142
2024-02-23,1010.3629351125377,1016.0527645913382,1014.9371685280928
2024-02-26,1006.9990074966546,1009.8583934455023,1046.1912084670814
2024-02-27,1009.3688739433019,1012.5155003457304,1069.5723382862936
2024-02-28,1006.5669854716363,1004.1012356811593,1089.8096797150683
2024-02-29,1006.9913814452566,1010.6922805635018,1087.4571551601266
2024-03-01,1012.2053970516558,1017.9139223872513,1104.9545190690865
2024-03-04,1012.539056673812,1017.6769587988775,1138.8582695382033
2024-03-05,1009.8901222878743,1010.8023878207592,1098.7570580285078
2024-03-06,1013.5266733692144,1014.3778946097395,1124.326503151735
2024-03-07,1018.1904868916931,1014.4614875972222,1130.4629883180246
2024-03-08,1021.4362256684213,1017.6507000969967,1141.7383824321153
2024-03-11,1018.4437422224928,1018.2832156561791,1158.691749050996
2024-03-12,1023.0197920486108,1024.2414121760362,1165.5063492798652
2024-03-13,1023.0339337576839,1020.4881620113912,1170.5868493305254
2024-03-14,1018.4664113280526,1020.5782680098704,1147.4429805813506
2024-03-15,1014.8364616702536,1014.1046995175448,1130.7544328470321
2024-03-18,1017.3717299955655,1021.0429294690073,1124.5100844073759
2024-03-19,1017.8294791699971,1018.1938171444413,1082.7827858466374
2024-03-20,1019.4879253236718,1019.7963582457609,1116.6377056637868
2024-03-21,1028.989313794847,1033.0824857647845,1122.6099008806264
2024-03-22,1027.4793583270841,1028.304550664116,1104.3566047873032
2024-03-25,1025.88035138384,1023.039489518609,1134.8796437879778
2024-03-26,1027.6028251683442,1024.708586385696,1140.4790384583398
2024-03-27,1031.0919299566165,1021.7456942744083,1133.7166433245097
2024-03-28,1037.842667622618,1030.5240799119308,1156.1189964860218
2024-04-02,1029.6057470136384,1031.9129570240193,1114.8777934412658
2024-04-03,1029.6873888377816,1029.0954602455736,1115.9997565338076
2024-04-04,1031.8639840886658,1032.8611200315702,1136.5365654250243
2024-04-05,1024.2876160003543,1022.4033540889747,1115.0642338950697
2024-04-08,1027.9706958460035,1024.0392912308232,1141.4405327709371
2024-04-09,1026.2347162964838,1023.051251958164,1132.3523373561575
2024-04-10,1024.132147712904,1020.6070200825634,1138.5516593580583
2024-04-11,1022.3368781865556,1025.1945283732775,1139.7298376750612
2024-04-12,1021.2461135704614,1021.6370543437528,1117.512839478126
2024-04-15,1019.3938127699687,1026.4353581176226,1090.4951498610685
2024-04-16,1005.6183948729561,1011.4500069114738,1074.2144805195085
2024-04-17,1002.5089384952055,1008.1520358355962,1051.5798720370271
2024-04-18,1007.0659977073617,1015.8976809570305,1067.9552047741695
2024-04-19,1003.1698586064358,1002.7409561549252,1047.8436096785265
2024-04-22,1008.2035529816742,1003.4010900026083,1064.3379292350164
2024-04-23,1017.5486099073792,1011.384123094484,1080.1667159739463
2024-04-24,1016.563122384886,1012.849092809742,1080.3987128219283
2024-04-25,1010.9569079032576,1005.148350837277,1077.5916957033776
2024-04-26,1021.0509440729886,1023.9329227682875,1095.960590696029
2024-04-29,1025.644061922898,1031.5791419293419,1096.540149929742
2024-04-30,1019.8789982586752,1026.8331985923905,1072.7924874899147
2024-05-02,1020.2376647097371,1030.062971372672,1072.0370214457498
2024-05-03,1025.11200737331,1040.7218053397812,1105.445268944081
2024-05-07,1034.6534230431894,1044.9378793204512,1107.748948820538
2024-05-08,1034.7815971605626,1041.833006631996,1089.0418944243581
2024-05-09,1036.6333195742452,1046.1330819519624,1105.1176891700584
2024-05-10,1041.756455332436,1049.0048268204814,1091.6881116334894
2024-05-13,1043.5321472930548,1052.024083157018,1120.2366632918504
2024-05-14,1043.9291580607915,1050.182353869172,1112.2538822221013
2024-05-15,1050.0843548449486,1055.9552261954602,1143.6145850744615
2024-05-16,1048.257781267132,1061.0832541720642,1143.7892559800443
2024-05-17,1046.7240013750531,1064.2533605396436,1154.5627047688465
2024-05-20,1049.5668104994202,1065.4850067144014,1179.85628173449
2024-05-21,1045.7298605429944,1061.0080484119662,1162.73958614605
2024-05-22,1045.8767751762612,1063.6737501973373,1165.838893766461
2024-05-23,1041.519174216765,1057.3311565875342,1152.7250365730747
2024-05-24,1040.500783125614,1051.9370561127516,1148.2182272383902
2024-05-28,1037.1952819680077,1049.530203321724,1150.8206529639822
2024-05-29,1028.296795178882,1043.8196044034366,1136.588878908749
2024-05-30,1030.71083874906,1036.4492072263588,1135.279129110402
2024-05-31,1029.9928936808847,1024.622507984003,1112.8193434771683
2024-06-03,1034.840445115927,1032.0342266701568,1128.4290823982994
2024-06-04,1028.4470045987912,1029.6457322669207,1137.3697571719867
2024-06-05,1038.3836186621952,1042.688822577926,1155.089410807394
2024-06-06,1040.8720954527982,1045.0229433749705,1156.7475653909582
2024-06-07,1040.9183717899054,1049.3830945569046,1150.3577044908038
2024-06-10,1041.0887874541409,1052.7637882155734,1152.5434883186942
2024-06-11,1037.6495617814674,1049.4803617701155,1141.5387885520818
2024-06-12,1043.6463842267694,1057.185902927254,1157.6350896266374
2024-06-13,1037.527706534949,1054.250230952865,1151.021531165129
2024-06-14,1034.5742874101202,1060.7115251124853,1138.4900381785556
2024-06-17,1034.734338300374,1061.512807238404,1139.427343751253
2024-06-18,1041.6413113725357,1068.4186145960298,1139.2033332124292
2024-06-19,1041.7381670252016,1071.5987971391967,1145.0994705468265
2024-06-20,1045.3907410953982,1070.0584573368567,1138.1688906641525
2024-06-21,1044.1117931656897,1067.458610619615,1126.0070487883859
2024-06-24,1048.9889826168908,1067.2032446467356,1098.8141675710579
2024-06-25,1044.883263715666,1061.5522861308773,1102.0429596529395
2024-06-26,1041.597471513597,1063.903609085877,1097.3739177491743
2024-06-27,1039.803348387798,1062.4680948820217,1098.8181360579638
2024-06-28,1042.0427369838412,1065.83111421483,1095.4288833513647
2024-07-01,1038.797273254441,1062.0379717658077,1101.0076122573807
2024-07-02,1037.4029658865036,1063.9973536761245,1099.5522241596527
2024-07-03,1040.8381364543586,1069.0917668357833,1104.016721611484
2024-07-04,1043.079736082169,1068.5768325370466,1082.4034548309405
2024-07-05,1041.0110768850232,1067.962463088292,1078.3134312795796
2024-07-08,1043.4934883177923,1071.9255507719038,1085.5212162883365
2024-07-09,1040.8091248235626,1074.181283437768,1091.0760686346039
2024-07-10,1046.7940929187132,1076.9514621742364,1096.2811897045376
2024-07-11,1056.6105633692198,1080.8423194020886,1101.1205090208123
2024-07-12,1063.3894970333467,1085.4312763477383,1108.7261782874768
2024-07-15,1059.0862357944472,1081.7527385476685,1144.3829916134862
2024-07-16,1062.33512736552,1085.7848195795086,1143.8348631169954
2024-07-17,1058.7915920247954,1077.0026824757178,1123.2723514392117
2024-07-18,1056.355181111352,1071.7481187724097,1111.8050519410149
2024-07-19,1047.1661837725537,1064.464551867995,1115.6615829730747
2024-07-22,1052.670579555129,1066.0274297400172,1127.4899432664868
2024-07-23,1055.0784276845072,1066.3534281807542,1123.9116612585924
2024-07-24,1050.9021622676746,1055.45296973301,1104.1220450374676
2024-07-25,1047.5294885465414,1046.5858631437166,1089.963129175222
2024-07-26,1052.7994059749824,1051.1482406402506,1103.478051416754
2024-07-29,1052.9670266297562,1049.6281804773384,1099.0708372437214
2024-07-30,1056.0313227381218,1046.9222427351792,1085.0173531234345
2024-07-31,1066.2434502058002,1069.099028214407,1095.1875662755795
2024-08-01,1052.9694609934324,1056.4742894871185,1081.4478120558645
2024-08-02,1025.8219130347234,1022.3155409069368,1012.011542659721
2024-08-05,1007.011877948318,997.1876112464769,956.0347341030199
2024-08-06,1011.6413034961645,1003.8734362497582,969.5065620450754
2024-08-07,1023.7920177568543,1015.7923828242433,974.5190928983784
2024-08-08,1026.6956189527132,1020.8511375736493,1023.7520243083414
2024-08-09,1030.041348784386,1022.8756503540894,1028.0734613831664
2024-08-12,1029.169031958378,1025.496856099496,1017.6746401618032
2024-08-13,1034.2254027528343,1030.091892385155,1031.7069661899116
2024-08-14,1034.9922966848858,1028.6616186872905,1019.0210034233228
2024-08-15,1048.2486088923238,1046.49315272462,1033.5438857345266
2024-08-19,1051.599744518668,1053.615312156166,1056.4910475621436
2024-08-20,1047.327829483505,1046.1799206504181,1045.3122503105676
2024-08-21,1051.3158543226073,1049.0123129559483,1059.508375266758
2024-08-22,1050.952709769952,1044.9515092781078,1062.4236103379133
2024-08-23,1057.7477414864393,1049.2866083347826,1080.9943704111554
2024-08-27,1057.5536509899391,1046.1163895069353,1049.7993149347876
2024-08-28,1060.1086097296266,1044.5344084194162,1039.5481481863492
2024-08-29,1067.6044035712025,1054.734917689966,1061.2886666378727
2024-09-02,1068.7295597173547,1053.0035753907164,1060.4319850067602
2024-09-03,1061.8187578266134,1043.4179490198603,1033.1902650430525
2024-09-05,1050.2411311746382,1031.7678299380652,1010.7650352918668
2024-09-06,1040.65084707143,1017.7927553937445,982.2403102139851
2024-09-09,1049.1623752844641,1024.2102006716584,1006.0485698549301
2024-09-10,1046.8171258774023,1024.2877056530306,1011.5198220337104
2024-09-11,1042.570911473047,1020.7066813363919,1011.7698918718934
2024-09-12,1048.1437860177432,1029.1489820977743,1027.2544602995004
2024-09-13,1055.2158805478666,1037.957514817585,1048.1731302238782
2024-09-16,1055.6896590480917,1034.475648640686,1029.5985043912992
2024-09-17,1060.883873580517,1041.3644629327803,1051.5389705037028
2024-09-18,1057.450375845111,1036.6977968373938,1054.3877972258497
2024-09-19,1067.6090582253469,1051.1356842768146,1080.015253815391
2024-09-20,1060.3188221694072,1051.425756975742,1077.0457310732916
2024-09-23,1068.7815145515542,1063.6388812266935,1093.226583422353
2024-09-24,1074.0860369391232,1084.5729194505966,1109.7061140923913
2024-09-25,1071.4409109731505,1084.3335516243046,1106.3298757709547
2024-09-26,1081.9710383163965,1110.52167473739,1146.4128158322583
2024-09-27,1088.8371057684221,1121.2974838592972,1164.5546617610712
2024-09-30,1081.4231422783264,1125.9331090572887,1151.547923402462
2024-10-01,1080.549458021594,1127.344430210905,1133.3531992994183
2024-10-02,1085.0972567342324,1157.3177347614237,1155.993912858882
2024-10-03,1076.8574650029225,1150.2476553245597,1151.0235533717168
2024-10-04,1084.4636277861703,1168.1113356550327,1179.0801569224914
2024-10-07,1085.0573645607749,1184.2768659162703,1187.5063883870164
2024-10-08,1078.429486558767,1149.7353124350182,1166.1194187159995
2024-10-09,1082.9261034788783,1137.6015051424768,1159.7014600133655
2024-10-10,1082.902064216292,1140.79861612601,1161.4287013129108
2024-10-11,1089.6211375783946,1146.677922514833,1184.9464154488473
2024-10-14,1094.7690522038024,1147.7803240072894,1207.032418409148
2024-10-15,1092.6641630124566,1130.5886156673464,1192.7062526958828
2024-10-16,1092.657673337418,1135.100827030218,1193.4544737484966
2024-10-17,1095.8750852096275,1133.177872050977,1191.7838210716113
2024-10-18,1098.260665752105,1147.936987866738,1211.6707988246767
2024-10-21,1091.0774487154258,1140.3658389156008,1198.5828573246984
2024-10-22,1090.529616325327,1147.1516938614968,1209.3613153941237
2024-10-23,1086.8411292354717,1141.3734959167514,1198.1015182211854
2024-10-24,1086.5113080392716,1133.6686314605995,1197.8642872371552
2024-10-25,1087.5903776072232,1143.9090154953124,1210.3514938324092
2024-10-28,1088.919950036336,1143.2451540017269,1231.3181304278685
2024-10-29,1087.0101086442348,1142.5787312675757,1252.4485648734692
2024-10-30,1078.0605448645401,1132.108492404312,1238.1637756905789
2024-10-31,1068.3520506077982,1113.563637478081,1197.0882997635551
2024-11-01,1073.9286281214984,1127.5782604235944,1210.0727102759051
2024-11-04,1072.9985578742198,1126.3194346990167,1196.994569929618
2024-11-05,1075.8532928744473,1136.612598624099,1222.0040422295424
