date,sp500_ew,msci_europe,msci_em,msci_ageing,euro_govbond_1_5y
2024-02-21,5.1805590274567805,30.56,36.785,8.143714985670703,140.92
2024-02-22,5.242320798299917,30.83,36.995,8.23133257876744,140.83
2024-02-23,5.262406174893695,30.955,37.01,8.26279811425402,140.97
2024-02-26,5.234379459758459,30.84,36.785,8.266040379828524,140.82
2024-02-27,5.240918756916266,30.875,36.905,8.336230403909996,140.81
2024-02-28,5.259058785529716,30.755,36.46,8.289940476190477,140.79
2024-02-29,5.275065583634175,30.735,36.57,8.249410348977134,140.87
2024-03-01,5.294276552551444,30.93,36.99,8.299483251822458,140.91
2024-03-04,5.312987562189054,30.925,36.88,8.295149253731342,140.91
2024-03-05,5.301205895900508,30.855,36.565,8.270700368493783,141.07
2024-03-06,5.298006744975681,30.965,36.96,8.343294714141507,141.03
2024-03-07,5.310289968938425,31.34,36.96,8.385438059565137,141.19
2024-03-08,5.328184374142818,31.31,37.12,8.475721861570817,141.41
2024-03-11,5.313122094087497,31.21,37.17,8.392997437305509,141.32
2024-03-12,5.331729998169168,31.535,37.51,8.380774670450384,141.22
2024-03-13,5.339460076740362,31.59,37.3,8.38181253425909,141.24
2024-03-14,5.320240786692398,31.545,37.275,8.326059645253192,139.73
2024-03-15,5.304932883255258,31.415,36.99,8.29608799485625,139.65
2024-03-18,5.336184895593782,31.425,37.09,8.326813310642995,139.63
2024-03-19,5.34439024390244,31.495,36.87,8.338536585365853,139.75
2024-03-20,5.363355193258838,31.495,37.05,8.339809488917384,139.74
2024-03-21,5.443478453038674,31.77,37.49,8.416939226519336,139.86
2024-03-22,5.4479936603424335,31.795,37.34,8.34138385006941,139.91
2024-03-25,5.419235142118864,31.805,37.25,8.35387689184201,139.8
2024-03-26,5.424203601108033,31.875,37.31,8.384608725761773,139.87
2024-03-27,5.46354771845557,31.92,37.27,8.445956955477556,140.05
2024-03-28,5.532875405580792,32.005,37.585,8.52719245387967,140.0
2024-04-02,5.466813567979198,31.725,37.93,8.310304141901932,139.88
2024-04-03,5.453299077065067,31.82,37.73,8.348375634517767,139.93
2024-04-04,5.458473465620674,31.85,37.94,8.387780341485927,140.0
2024-04-05,5.410680387632673,31.575,37.63,8.29474388555607,139.97
2024-04-08,5.428195063547615,31.73,37.915,8.328437097071284,139.82
2024-04-09,5.40613007830493,31.595,37.99,8.326105941962231,139.94
2024-04-10,5.406341416868367,31.605,37.95,8.22120857382238,139.87
2024-04-11,5.3953063222678095,31.505,38.15,8.159723517344274,139.78
2024-04-12,5.4013954143957905,31.6,37.825,8.092733978575456,140.06
2024-04-15,5.379669365467897,31.64,37.69,8.068918282809264,139.96
2024-04-16,5.292808891400583,31.15,36.97,7.931021945935762,139.89
2024-04-17,5.256688407834317,31.16,36.905,7.869870208977602,139.85
2024-04-18,5.295069059475711,31.295,37.105,7.918651930846567,139.77
2024-04-19,5.275150459921157,31.245,36.765,7.855248263562982,139.79
2024-04-22,5.303439975596021,31.505,36.975,7.884744931481135,139.89
2024-04-23,5.351395083652677,31.835,37.245,8.0608915225722,139.88
2024-04-24,5.3521608394877065,31.73,37.42,8.023290408525755,139.75
2024-04-25,5.304233758971013,31.53,37.285,7.968596560723273,139.68
2024-04-26,5.364359567901235,31.91,37.9,8.047999438832772,139.76
2024-04-29,5.377007976490344,31.94,38.16,8.179473831514134,139.94
2024-04-30,5.3490928270042195,31.71,37.955,8.103333989685888,139.73
2024-05-02,5.296319160839162,31.64,38.495,8.164136363636365,139.84
2024-05-03,5.313651459379066,31.83,38.74,8.226242796058745,140.08
2024-05-07,5.382116071428571,32.365,38.76,8.326696428571429,140.03
2024-05-08,5.392061796184271,32.495,38.725,8.259919962773383,140.0
2024-05-09,5.404402745570911,32.575,38.73,8.293022910676187,139.98
2024-05-10,5.435572012257405,32.83,38.915,8.330668121459745,140.04
2024-05-13,5.437958565072303,32.835,39.165,8.360941323692993,140.07
2024-05-14,5.42361508596783,32.885,39.18,8.398399889073765,140.02
2024-05-15,5.444338586656864,33.09,39.415,8.518253767689762,140.24
2024-05-16,5.455181500230096,32.71,39.575,8.521717441325356,140.27
2024-05-17,5.4386066881324755,32.625,39.745,8.502021389144435,140.01
2024-05-20,5.462544449562414,32.745,39.66,8.552232151082451,140.1
2024-05-21,5.447362354892205,32.665,39.4,8.476016215220197,140.11
2024-05-22,5.452726873671565,32.57,39.39,8.518967747897605,140.05
2024-05-23,5.410873578100435,32.555,39.23,8.445683205400906,139.9
2024-05-24,5.396144767173813,32.52,39.085,8.472775472568003,139.95
2024-05-28,5.360845693228927,32.435,39.0,8.440055274067252,139.98
2024-05-29,5.312584916666665,32.1,38.535,8.33896875,139.93
2024-05-30,5.309651033973412,32.29,38.335,8.432214734121123,140.0
2024-05-31,5.326032423208191,32.39,37.705,8.439984088183747,140.07
2024-06-03,5.326191524490919,32.525,38.195,8.526604292790312,140.17
2024-06-04,5.301490669240669,32.37,37.555,8.444722605258319,140.3
2024-06-05,5.3528070482149435,32.705,38.33,8.51705925653294,140.46
2024-06-06,5.359813956649521,32.9,38.515,8.523963078618664,140.23
2024-06-07,5.378745046296296,32.845,38.58,8.495390046296295,140.12
2024-06-10,5.380355848741057,32.76,38.88,8.48331552541113,139.97
2024-06-11,5.391870751466617,32.48,38.555,8.449636837694383,140.14
2024-06-12,5.385639492921255,32.76,38.82,8.596183954844083,140.3
2024-06-13,5.3811602487191434,32.4,38.6,8.474305542617607,140.43
2024-06-14,5.373221171962617,32.065,39.005,8.388491121495326,140.5
2024-06-17,5.3804909167132475,32.095,39.035,8.372808365940005,140.31
2024-06-18,5.421953119761594,32.275,39.425,8.455160644440303,140.54
2024-06-19,5.4033635635822,32.22,39.79,8.452744367901694,140.54
2024-06-20,5.43396238317757,32.515,39.655,8.468205607476635,140.56
2024-06-21,5.457894724534655,32.235,39.55,8.477507950612667,140.64
2024-06-24,5.478244781960492,32.515,39.54,8.565295378307866,140.66
2024-06-25,5.432865397180996,32.475,39.28,8.53583776719873,140.67
2024-06-26,5.418363142616349,32.33,39.32,8.452528326622343,140.65
2024-06-27,5.410887310783031,32.175,39.295,8.455249486077369,140.57
2024-06-28,5.434773732847942,32.1,39.505,8.496443573228788,140.63
2024-07-01,5.377742782641087,32.21,39.425,8.44468150493574,140.55
2024-07-02,5.374526247207744,32.085,39.335,8.452851824274013,140.55
2024-07-03,5.356564064528092,32.275,39.775,8.498451696643798,140.63
2024-07-04,5.354753700277521,32.47,39.89,8.517451202590195,140.57
2024-07-05,5.327210778885197,32.42,39.785,8.507344038390551,140.77
2024-07-08,5.349592127148401,32.4,39.96,8.548225836259471,140.84
2024-07-09,5.35214231409545,32.1,40.045,8.512541620421755,140.81
2024-07-10,5.3568275623268695,32.415,40.2,8.646357340720222,140.87
2024-07-11,5.436869213069488,32.565,40.395,8.836694661757937,141.17
2024-07-12,5.47567650834403,32.86,40.525,8.949422336328626,141.09
2024-07-15,5.486210482834588,32.505,40.14,8.926473288048467,141.15
